,Ticker,Name,Market Cap,Sector,Beta
11720,GEBHY,Genting Bhd,20061.50073,"Hotels, Restaurants & Leisure",1.6036
11721,AGO,Assured Guaranty Ltd,3725.15458391025,Insurance,1.10927
11722,AZUSF,Azeus Systems Holdings Ltd,233.999946,Technology,0.0523
11723,JBFCY,Jollibee Foods Corp,231270.253906,"Hotels, Restaurants & Leisure",1.56936
11724,CRNCY,Capricorn Energy PLC,624.5739430000001,Energy ,2.24061
11725,VST,Vistra Corp,11162.604580427254,Utilities,0.82855
11726,NRWMF,Norwest Minerals Ltd,7.58551,Metals & Mining,-0.26749
11727,WXXWY,WuXi Biologics (Cayman) Inc,240456.030762,Life Sciences Tools & Services,1.55725
11728,BBI,Brickell Biotech Inc,18.0856596664443,Biotechnology,0.13877
11729,LKFLF,Luk Fook Holdings (International) Ltd,10474.003029,Retail,0.61052
11730,CDUUF,Canadian Utilities Ltd,10845.88875,Utilities,0.57025
11731,IMYSF,Imerys SA,2942.819432,Construction,1.59253
11732,ELY,Callaway Golf Co,4109.475933590309,Leisure Products,1.8449
11733,CPRHF,Capital Power Corp,5287.554958,Utilities,0.65438
11734,EPGNF,Epigenomics AG,7.81879,Biotechnology,1.18665
11735,SCUPF,Aegis Brands Inc,10.453602,"Hotels, Restaurants & Leisure",1.30573
11736,NR,Newpark Resources Inc,414.6654466780822,,2.98025
11737,AMG,Affiliated Managers Group Inc,5168.153103280391,Financial Services,1.33202
11738,PZN,Pzena Investment Management Inc,500.8362619829059,Financial Services,1.27981
11739,MCRI,Monarch Casino & Resort Inc,1308.2348602563663,"Hotels, Restaurants & Leisure",1.69353
11740,OSG,Overseas Shipholding Group Inc,198.37533005286338,Energy ,0.30763
11741,LASR,nLIGHT Inc,568.4732253283019,Electrical Equipment,2.36667
11742,SMRVF,Smooth Rock Ventures Corp,2.714227,Metals & Mining,1.89882
11743,TLSYY,Telstra Corporation Ltd,45676.748057,Telecommunication,0.68109
11744,BYDDF,BYD Co Ltd,809663.1457331947,Automobiles,0.92318
11745,WEXPF,Western Exploration Inc,42.539271,Metals & Mining,0.74589
11746,KBDHF,Kabel Deutschland Holding AG,9206.39,Media,0.16108
11747,DGWPF,Draegerwerk AG & Co KGaA,816.767981,Health Care,-0.44099
11748,LOPE,Grand Canyon Education Inc,2855.091494727089,Diversified Consumer Services,0.50019
11749,HBIS,Home Bistro Inc,17.52,Food Products,1.45381
11750,NTNX,Nutanix Inc,3608.4620450812768,Technology,1.51819
11751,ACJJF,Acom Co Ltd,510716.208252,Financial Services,0.92861
11752,SNLAF,Sino Land Co Ltd,85980.268714,Real Estate,0.79542
11753,YUEIF,Yue Yuen Industrial (Holdings) Ltd,18039.591685,"Textiles, Apparel & Luxury Goods",1.14724
11754,RKMSF,ROKMASTER Resources Corp,27.783045,Metals & Mining,2.75906
11755,ABPPF,Abacus Property Group,2623.741717,Real Estate,1.16806
11756,SAFLY,Safilo Group SpA,625.296383,"Textiles, Apparel & Luxury Goods",1.18257
11757,KOS,Kosmos Energy Ltd,3825.6754954885405,Energy ,3.05341
11758,RNMBY,Rheinmetall AG,8550.936355,Aerospace & Defense,0.87336
11759,SELB,Selecta Biosciences Inc,133.9718099305471,Biotechnology,1.35665
11760,CWEN.A,Clearway Energy Inc,6442.62,Utilities,0.7814
11761,NNXXY,Nexity SA,1517.789714,Real Estate,1.21561
11762,WHGLY,WH Group Ltd,78649.248392,Food Products,1.06555
11763,TAVHY,TAV Havalimanlari Holding AS,15112.5,Transportation Infrastructure,0.87064
11764,UNM,Unum Group,7295.709361058953,Insurance,1.40795
11765,DTMXF,Datametrex AI Ltd,49.863247,Technology,3.76044
11766,KMUXF,Kamux Oyj,356.431081,Retail,1.39312
11767,KMPH,KemPharm Inc,162.47890303594076,Pharmaceuticals,2.94618
11768,MNAP,MNP Petroleum Corp,0.0,Energy ,-0.44952
11769,MLXEF,Metals X Ltd,421.878718,Metals & Mining,1.53982
11770,NBTX,Nanobiotix SA,163.610855,Biotechnology,1.9798
11771,COSM,Cosmos Holdings Inc,20.40393102777778,Health Care,1.13273
11772,VHC,VirnetX Holding Corp,86.9040858548387,Technology,0.76689
11773,CHIF,China Food and Beverage Co,6.0,Beverages,6.50576
11774,EWCLF,Energy World Corporation Ltd,182.569434,Utilities,0.5116
11775,RVSGF,Riversgold Ltd,28.742286,Metals & Mining,2.77834
11776,ISDR,Issuer Direct Corp,89.06618569578994,Technology,0.90882
11777,ENPRF,Current Water Technologies Inc,7.429626,Utilities,0.28773
11778,NEOJF,Neojapan Inc,18516.452591,Technology,1.42946
11779,TSDOF,Tessenderlo Group NV,1357.374978,Chemicals,0.50898
11780,ASLE,AerSale Corp,740.6898735100764,Aerospace & Defense,0.45877
11781,WKEY,Wisekey International Holding AG,41.082602,Semiconductors,2.31389
11782,FRTCF,Far East Consortium International Ltd,5807.084996,Real Estate,0.79244
11783,MSTR,Microstrategy Inc,2567.023417184979,Technology,1.75557
11784,ASB,Associated Banc-Corp,3120.9122935361215,Banking,1.03686
11785,WTFCP,Wintrust Financial Corp,5108.866288927696,Banking,1.29728
11786,XOMAP,XOMA Corp,210.03098386256985,Biotechnology,1.0865
11787,APM,Aptorum Group Ltd,44.62274903846154,Biotechnology,0.08418
11788,NHCZF,Nihon Chouzai Co Ltd,37453.595631,Retail,0.56557
11789,AVHNY,Ackermans & Van Haaren NV,5214.83377,Construction,0.73106
11790,PTNDF,Vale Indonesia Tbk PT,78745485.522461,Metals & Mining,1.81423
11791,FFWM,First Foundation Inc,1246.702536857396,Banking,1.22239
11792,DLHGF,DL Holdings Group Ltd,3724.779595,Financial Services,1.19657
11793,JPXGY,Japan Exchange Group Inc,1077973.3991700003,Financial Services,0.77578
11794,HUZNF,Huazhang Technology Holding Ltd,595.890042,Machinery,0.92874
11795,NWCCF,Northwest Copper Corp,80.333458,Metals & Mining,0.12879
11796,JNBYF,JNBY Design Ltd,4735.740433,"Textiles, Apparel & Luxury Goods",1.15314
11797,TNRSF,Tenaris SA,18628.871418,,1.5412
11798,OPGN,OpGen Inc,27.81855501916627,Biotechnology,-0.5107
11799,ENVB,Enveric Biosciences Inc,11.23234554060325,Pharmaceuticals,1.77096
11800,IVUFF,IVU Traffic Technologies AG,284.94128,Technology,1.09462
11801,EURN,Euronav NV,2575.427878,Energy ,-0.10673
11802,DSVSF,Discovery Silver Corp,506.350921,Metals & Mining,2.45428
11803,CODI,Compass Diversified Holdings,1627.2927463020835,Financial Services,1.74824
11804,ISR,IsoRay Inc,38.67756626363637,Biotechnology,1.03624
11805,RPM,RPM International Inc,11389.145445700777,Chemicals,0.89224
11806,LPDNF,Lepidico Ltd,175.690613,Metals & Mining,1.86458
11807,HFBL,Home Federal Bancorp Inc of Louisiana,66.528266,Financial Services,0.50692
11808,CFPUF,Canfor Pulp Products Inc,342.476183,Paper & Forest,1.78816
11809,ESMC,Escalon Medical Corp,0.837339,Health Care,-0.59827
11810,BTI,British American Tobacco PLC,79984.357749,Tobacco,1.05217
11811,LBAI,Lakeland Bancorp Inc,997.6077273610223,Banking,0.86894
11812,BTABF,Bank BTPN Syariah Tbk PT,24183033.505859,Banking,1.76997
11813,CMSA,CMS Energy Corp,20639.783063186027,Utilities,0.25465
11814,TMOAY,TomTom NV,1011.492282,Technology,1.02124
11815,PFRRF,PetroFrontier Corp,23.368511,Energy ,1.53584
11816,NHMAF,Nihon M&A Center Holdings Inc,474672.411865,Professional Services,1.24921
11817,NSC,Norfolk Southern Corp,58310.433652073414,Road & Rail,1.36399
11818,TERNF,Tern PLC,45.76190700000001,Financial Services,3.20442
11819,NWBI,Northwest Bancshares Inc,1605.4215070833332,Banking,0.5415
11820,JFBC,Jeffersonville Bancorp,100.15774999999998,Banking,0.35467
11821,AEDFF,Aedifica NV,3769.209129,Real Estate,0.59406
11822,BY,Byline Bancorp Inc,944.9540083465819,Banking,1.28403
11823,EFGZF,EFG Hermes Holdings SAE,13136.454163,Financial Services,1.38519
11824,FLXQF,FlexQube AB (publ),477.533293,Machinery,2.80128
11825,MGJNF,Magnit PAO,453301.702881,Retail,0.98095
11826,ASRV,Ameriserv Financial Inc,68.26530295454546,Banking,0.74732
11827,BAM,Brookfield Asset Management Inc,82467.98206544913,Financial Services,1.30561
11828,IFABF,iFabric Corp,59.248932,"Textiles, Apparel & Luxury Goods",1.38298
11829,LE,Lands End Inc,392.9812971949085,Retail,2.5598
11830,CURR,Cure Pharmaceutical Holding Corp,21.65873857534247,Pharmaceuticals,0.50526
11831,FUBO,Fubotv Inc,618.1738857586206,Media,3.75438
11832,SMMT,Summit Therapeutics Inc,110.87826220338982,Biotechnology,0.99773
11833,PPLPF,Pembina Pipeline Corp,29055.156555,Energy ,1.65219
11834,MGIDF,Magnum Goldcorp Inc,1.849077,Technology,0.58867
11835,CUZ,Cousins Properties Inc,5081.76753,Real Estate,1.01582
11836,IOSP,Innospec Inc,2589.7114597684827,Chemicals,1.17497
11837,OSTK,Overstock.com Inc,1317.9181142014104,Retail,3.87876
11838,A,Agilent Technologies Inc,38561.569094933315,Life Sciences Tools & Services,1.05851
11839,HPQFF,HPQ Silicon Resources Inc,152.523512,Metals & Mining,2.38295
11840,JOUT,Johnson Outdoors Inc,656.7039107041597,Leisure Products,0.84204
11841,RRR,Red Rock Resorts Inc,4235.987137925037,"Hotels, Restaurants & Leisure",2.33125
